9-Digit NDC,Strength per Unit,MME conversion factor
317220951,10,1.5
317220996,5,1
317220997,10,1
332162823,10,0
332162860,25,0
332162864,1,4
332610001,30,0.15
332610053,5,1
332610105,50,0.1
332610392,10,0.15
332610685,2.5,0
333420201,50,0.1
333580166,5,1
353560007,4,4
353560122,1,1
353560200,1,1
353560399,40,1.5
353560451,7.5,1
353560454,7.5,1.5
353560525,50,0.4
353560575,10,1.5
353560593,75,0.4
353560634,75,7.2
353560659,50,0.1
353560767,150,0.1
353560770,100,0.4
353560810,50,0.4
353560816,2,4
353560828,5,1.5
354700457,0.4,1
355730006,1.26,0.15
400320358,10,1
406222401,2,11
421950840,16,0.25
422540051,37.5,0.1
422540114,7.5,1
422910332,5,1
422910333,7.5,1
422910334,10,1
422910645,5,1.5
422910646,10,1.5
422910832,37.5,0.1
423580100,100,0.13
423580102,2,11
423580103,3,11
423580200,200,0.13
423580300,300,0.13
423580400,400,0.13
423580600,600,0.13
423580800,800,0.13
425490618,5,1.5
425710119,37.5,0.1
427990217,10,1
428060005,5,1.5
428060006,10,1.5
428060007,15,1.5
428060008,30,1.5
428060009,20,1.5
428060050,50,0.1
428060051,100,0.1
428060061,,1.5
428060065,10,1.5
428060066,15,1.5
428060067,20,1.5
428060068,30,1.5
428060069,40,1.5
428060070,60,1.5
428060071,80,1.5
428060111,5,1
428060112,7.5,1
428060113,10,1
428060114,5,1.5
428060115,7.5,1.5
428060116,10,1.5
428060330,5,3
428060331,10,3
428580001,5,1.5
428580002,10,1.5
428580003,15,1.5
428580004,20,1.5
428580005,30,1.5
428580020,5,1.5
428580040,5,1
428580101,2.5,1.5
428580102,5,1.5
428580103,7.5,1.5
428580104,10,1.5
428580122,2,4
428580139,7.5,1
428580201,5,1
428580202,7.5,1
428580203,10,1
428580234,4,4
428580238,10,1
428580301,2,4
428580302,4,4
428580303,8,4
428580304,1,4
428580338,8,4
428580416,1,4
428580901,100,0.1
429980203,10,1
430630014,30,0.15
430630055,50,0.1
430630279,5,1.5
430630359,5,1
430630461,7.5,1
430630554,30,0.15
430630631,5,1.5
430630653,5,1.5
430630686,5,1
433530072,50,0.1
433530159,10,1
433760210,10,1
433760215,15,1
433760220,20,1
433760230,30,1
433760240,40,1
433760250,50,1
433760310,10,1
433760315,15,1
433760320,20,1
433760330,30,1
433760340,40,1
433760350,50,1
433860118,5,1
433860350,5,1
433860351,5,1
433860352,7.5,1
433860353,10,1
433860356,5,1
433860357,7.5,1
433860358,10,1
433860430,15,1.5
433860431,30,1.5
433860432,5,1.5
433860433,10,1.5
433860434,20,1.5
433860490,2.5,1.5
433860491,5,1.5
433860492,7.5,1.5
433860493,10,1.5
433860670,25,0.37
433860680,50,0.37
433860920,20,1.5
435470373,7.5,1
435980546,7.5,1.5
435980547,10,1.5
451830111,10,0
451830148,2,0
451830926,0.2,4
451830930,0.2,4
451830996,0.4,0
460660752,10,7
466720052,5,1
466720561,2.4,0.15
466720645,0.66,1
472021206,0.4,1
473350531,100,0.1
473350533,200,0.1
473350537,300,0.1
473350859,100,0.1
473350860,200,0.1
473350861,300,0.1
476790426,0.5,0
476790544,2,0.15
476790887,2,4
477810196,5,1.5
477810229,7.5,1.5
477810230,10,1.5
477810231,7.5,1.5
477810232,10,1.5
477810263,5,1.5
477810264,15,1.5
477810265,30,1.5
477810392,20,1
477810393,30,1
477810394,40,1
477810395,60,1
477810396,80,1
477810397,100,1
477810398,120,1
477810409,10,1
477810410,15,1
477810411,20,1
477810412,30,1
477810413,40,1
477810414,50,1
477810423,12,7.2
477810424,25,7.2
477810426,50,7.2
477810427,75,7.2
477810428,100,7.2
496480363,0.4,1
497080419,16,0.25
497270644,0.4,1
498840136,10,1.5
498840137,20,1.5
498840138,40,1.5
498840197,80,1.5
498840235,2,1
498840459,200,0.13
498840460,400,0.13
498840461,600,0.13
498840462,800,0.13
498840463,1200,0.13
498840464,1600,0.13
498840761,25,7.2
498840762,50,7.2
498840763,75,7.2
498840764,100,7.2
498840821,100,0.1
498840822,200,0.1
498840823,300,0.1
498840946,37.5,0.1
499990052,7.5,1
499990129,50,0.1
499990152,2,0.15
499990899,5,1.5
500900215,2.4,0.15
500900806,50,0.1
500900807,50,0.1
500900843,5,1
500901517,5,1
500901572,30,0.15
500901933,30,0.15
500901934,30,0.15
500902120,5,1
500902651,2,0.15
500903011,60,0.15
500904610,30,0.15
500905106,200,0.1
500905107,100,0.1
500905200,30,0.15
501110616,50,0.1
502680400,7.5,1
502680401,5,1
502680402,10,1
502680403,5,1
502680408,10,1
502680644,5,1.5
502680645,7.5,1.5
502680646,10,1.5
502680773,37.5,0.1
502680774,37.5,0.1
503830043,1,1
503830079,2.4,0.15
503830087,2,0.15
503830337,2.4,0.15
503830339,2.4,0.15
503830804,2,0.15
503830805,2,0.15
503830855,0.4,1
503830961,1,1.5
503830964,20,1.5
504360377,50,0.1
504580033,25,7.2
504580034,50,7.2
504580035,75,7.2
504580036,100,7.2
504580037,12,7.2
504580050,50,0
504580090,12,7.2
504580091,25,7.2
504580092,50,7.2
504580093,75,7.2
504580094,100,7.2
504580101,12,7.2
504580102,25,7.2
504580104,50,7.2
504580105,75,7.2
504580106,100,7.2
504580513,30,0.15
504580515,60,0.15
504580650,37.5,0.1
504580653,100,0.1
504580655,200,0.1
504580657,300,0.1
504580659,50,0.1
504580820,50,0.4
504580830,75,0.4
504580840,100,0.4
504580860,50,0.4
504580861,100,0.4
504580862,150,0.4
504580863,200,0.4
504580864,250,0.4
504740150,2,1
504740902,5,1
504740907,7.5,1
504740909,0.5,1
504740910,10,1
504740930,5,1
504740931,7.5,1
504740932,10,1
505640507,30,0.15
507420256,16,0.15
509910578,5,1
509910579,10,1
509910723,2,0.15
510790067,2.5,0
510790161,30,0.15
510790213,0.5,0
510790274,5,1
510790305,10,1
510790777,5,1
510790778,7.5,1
510790779,10,1
510790780,5,1
510790991,50,0.1
512240102,8,4
512240300,6,0.15
512850302,15,0.15
512850602,60,0.15
512930618,2.5,0
512930622,50,0.1
514070529,5,1.5
514070531,15,1.5
514320037,30,0.15
516550802,30,0.15
516550809,30,0.15
517280318,0.4,1
518620227,5,1
518620228,7.5,1
518620229,10,1
518620314,25,7.2
518620315,50,7.2
518620316,75,7.2
518620317,100,7.2
518620585,5,1
518620586,7.5,1
518620587,10,1
518620634,100,0.13
518620635,200,0.13
518620636,400,0.13
518620637,600,0.13
518620638,800,0.13
519910073,30,0.15
519910074,30,0.15
521520140,5,1
521520157,100,0.1
521520158,50,0.1
521520165,5,1.5
521520172,10,0.15
521520213,25,0.37
521520214,15,1.5
521520215,30,1.5
521520258,2,4
521520408,10,1.5
521520410,40,1.5
521520411,80,1.5
524460002,30,0.15
524460072,30,0.15
524460874,2,0.15
524460877,2,0.15
525330002,0.2,4
525330006,1,4
525330024,10,0
525330025,20,0
525330074,50,0
525330080,2,0
525440071,5,1
525440082,30,0.15
525440161,10,1
525440162,7.5,1
525440349,5,1
525440385,7.5,1
525440539,10,1
525440729,7.5,1
525440749,5,1.5
525440774,5,1.5
525440820,4.88,1.5
525440853,10,1
525440913,5,1
525440956,30,0.15
525440958,30,0.15
528170195,50,0.1
528170196,100,0.1
529590949,0.5,0
529591416,2.4,0.15
530020114,30,0.15
530140548,2,1
532650237,2.5,0
532650285,30,0.15
532650286,60,0.15
532650345,5,1
534890499,50,0.1
537460109,5,1
537460110,10,1
537460111,5,1
537460112,7.5,1
537460113,7.5,1
537460114,10,1
537460116,2.5,1
537460117,10,1
537460118,7.5,1
537460119,10,1
537460145,7.5,1
537460146,5,1
537460203,5,1.5
537460204,10,1.5
537460205,7.5,1.5
537460206,10,1.5
537460617,37.5,0.1
538070552,2,0.15
538070554,2,0.15
542740356,30,0.15
545690024,30,0.15
545690025,30,0.15
545690221,2.5,0
545690222,2.5,0
545690337,30,0.15
545690341,30,0.15
545691056,2,0.15
545691331,0.4,1
545691334,2,1
